1/29/20 , ME , 	0 ,  0
1/29/20 , MI , 	0 ,  0
1/29/20 , MN , 	0 ,  0
1/29/20 , MO , 	0 ,  0
1/29/20 , MS , 	0 ,  0
1/29/20 , MT , 	0 ,  0
1/29/20 , NC , 	0 ,  0
1/29/20 , ND , 	0 ,  0
1/29/20 , NE , 	0 ,  0
1/29/20 , NH , 	0 ,  0
1/29/20 , NJ , 	0 ,  0
1/29/20 , NM , 	0 ,  0
1/29/20 , NV , 	0 ,  0
1/29/20 , NY , 	0 ,  0
1/29/20 , OH , 	0 ,  0
1/29/20 , OK , 	0 ,  0
1/29/20 , OR , 	0 ,  0
1/29/20 , PA , 	0 ,  0
1/29/20 , RI , 	0 ,  0
1/29/20 , SC , 	0 ,  0
1/29/20 , SD , 	0 ,  0
1/29/20 , TN , 	0 ,  0
1/29/20 , TX , 	0 ,  0
1/29/20 , UT , 	0 ,  0
1/29/20 , VA , 	0 ,  0
1/29/20 , VT , 	0 ,  0
1/29/20 , WA , 	1 ,  0
1/29/20 , WI , 	0 ,  0
1/29/20 , WV , 	0 ,  0
1/29/20 , WY , 	0 ,  0
1/30/20 , AL , 	0 ,  0
1/30/20 , AR , 	0 ,  0
1/30/20 , AZ , 	1 ,  0
1/30/20 , CA , 	2 ,  0
1/30/20 , CO , 	0 ,  0
1/30/20 , CT , 	0 ,  0
1/30/20 , DE , 	0 ,  0
1/30/20 , FL , 	0 ,  0
1/30/20 , GA , 	0 ,  0
1/30/20 , HI , 	0 ,  0
1/30/20 , IA , 	0 ,  0
1/30/20 , ID , 	0 ,  0
1/30/20 , IL , 	1 ,  0
1/30/20 , IN , 	0 ,  0
1/30/20 , KS , 	0 ,  0
1/30/20 , KY , 	0 ,  0
1/30/20 , LA , 	0 ,  0
1/30/20 , MA , 	0 ,  0
1/30/20 , MD , 	0 ,  0
1/30/20 , ME , 	0 ,  0
1/30/20 , MI , 	0 ,  0
1/30/20 , MN , 	0 ,  0
1/30/20 , MO , 	0 ,  0
1/30/20 , MS , 	0 ,  0
1/30/20 , MT , 	0 ,  0
1/30/20 , NC , 	0 ,  0
1/30/20 , ND , 	0 ,  0
1/30/20 , NE , 	0 ,  0
1/30/20 , NH , 	0 ,  0
1/30/20 , NJ , 	0 ,  0
1/30/20 , NM , 	0 ,  0
1/30/20 , NV , 	0 ,  0
1/30/20 , NY , 	0 ,  0
1/30/20 , OH , 	0 ,  0
1/30/20 , OK , 	0 ,  0
1/30/20 , OR , 	0 ,  0
1/30/20 , PA , 	0 ,  0
1/30/20 , RI , 	0 ,  0
1/30/20 , SC , 	0 ,  0
1/30/20 , SD , 	0 ,  0
1/30/20 , TN , 	0 ,  0
1/30/20 , TX , 	0 ,  0
1/30/20 , UT , 	0 ,  0
1/30/20 , VA , 	0 ,  0
1/30/20 , VT , 	0 ,  0
1/30/20 , WA , 	1 ,  0
1/30/20 , WI , 	0 ,  0
1/30/20 , WV , 	0 ,  0
1/30/20 , WY , 	0 ,  0
1/31/20 , AL , 	0 ,  0
1/31/20 , AR , 	0 ,  0
1/31/20 , AZ , 	1 ,  0
1/31/20 , CA , 	3 ,  1
1/31/20 , CO , 	0 ,  0
1/31/20 , CT , 	0 ,  0
1/31/20 , DE , 	0 ,  0
1/31/20 , FL , 	0 ,  0
1/31/20 , GA , 	0 ,  0
1/31/20 , HI , 	0 ,  0
1/31/20 , IA , 	0 ,  0
1/31/20 , ID , 	0 ,  0
1/31/20 , IL , 	2 ,  1
1/31/20 , IN , 	0 ,  0
1/31/20 , KS , 	0 ,  0
1/31/20 , KY , 	0 ,  0
1/31/20 , LA , 	0 ,  0
1/31/20 , MA , 	0 ,  0
1/31/20 , MD , 	0 ,  0
1/31/20 , ME , 	0 ,  0
1/31/20 , MI , 	0 ,  0
1/31/20 , MN , 	0 ,  0
1/31/20 , MO , 	0 ,  0
1/31/20 , MS , 	0 ,  0
1/31/20 , MT , 	0 ,  0
1/31/20 , NC , 	0 ,  0
1/31/20 , ND , 	0 ,  0
1/31/20 , NE , 	0 ,  0
1/31/20 , NH , 	0 ,  0
1/31/20 , NJ , 	0 ,  0
1/31/20 , NM , 	0 ,  0
1/31/20 , NV , 	0 ,  0
1/31/20 , NY , 	0 ,  0
1/31/20 , OH , 	0 ,  0
1/31/20 , OK , 	0 ,  0
1/31/20 , OR , 	0 ,  0
1/31/20 , PA , 	0 ,  0
1/31/20 , RI , 	0 ,  0
1/31/20 , SC , 	0 ,  0
1/31/20 , SD , 	0 ,  0
1/31/20 , TN , 	0 ,  0
1/31/20 , TX , 	0 ,  0
1/31/20 , UT , 	0 ,  0
1/31/20 , VA , 	0 ,  0
1/31/20 , VT , 	0 ,  0
1/31/20 , WA , 	1 ,  0
1/31/20 , WI , 	0 ,  0
1/31/20 , WV , 	0 ,  0
1/31/20 , WY , 	0 ,  0
10/1/20 , AL , 	155744 ,  1043
10/1/20 , AR , 	84821 ,  1124
10/1/20 , AZ , 	219212 ,  705
10/1/20 , CA , 	813687 ,  3062
10/1/20 , CO , 	71218 ,  682
10/1/20 , CT , 	57742 ,  192
10/1/20 , DE , 	20937 ,  324
10/1/20 , FL , 	700602 ,  2551
10/1/20 , GA , 	319334 ,  1308
10/1/20 , HI , 	12694 ,  105
10/1/20 , IA , 	90009 ,  1179
10/1/20 , ID , 	42561 ,  513
10/1/20 , IL , 	297929 ,  2166
10/1/20 , IN , 	121176 ,  1157
10/1/20 , KS , 	59749 ,  0
10/1/20 , KY , 	69728 ,  888
10/1/20 , LA , 	168009 ,  551
10/1/20 , MA , 	140357 ,  708
10/1/20 , MD , 	126222 ,  712
10/1/20 , ME , 	5468 ,  37
10/1/20 , MI , 	139012 ,  998
10/1/20 , MN , 	100200 ,  1066
10/1/20 , MO , 	127912 ,  1799
10/1/20 , MS , 	99558 ,  672
10/1/20 , MT , 	13824 ,  431
10/1/20 , NC , 	212909 ,  2277
10/1/20 , ND , 	22694 ,  476
10/1/20 , NE , 	46185 ,  621
10/1/20 , NH , 	8317 ,  51
10/1/20 , NJ , 	205889 ,  614
10/1/20 , NM , 	29661 ,  226
10/1/20 , NV , 	80515 ,  430
10/1/20 , NY , 	215457 ,  849
10/1/20 , OH , 	155314 ,  1327
10/1/20 , OK , 	94619 ,  1177
10/1/20 , OR , 	33862 ,  353
10/1/20 , PA , 	160123 ,  1156
10/1/20 , RI , 	24914 ,  166
10/1/20 , SC , 	148323 ,  381
10/1/20 , SD , 	23136 ,  747
10/1/20 , TN , 	197432 ,  1293
10/1/20 , TX , 	752501 ,  3534
10/1/20 , UT , 	74050 ,  1008
10/1/20 , VA , 	149687 ,  966
10/1/20 , VT , 	1755 ,  0
10/1/20 , WA , 	88116 ,  594
10/1/20 , WI , 	132123 ,  3000
10/1/20 , WV , 	16024 ,  176
10/1/20 , WY , 	6083 ,  135
10/10/20 , AL , 	164526 ,  1061
10/10/20 , AR , 	92220 ,  908
10/10/20 , AZ , 	224978 ,  894
10/10/20 , CA , 	842776 ,  4170
10/10/20 , CO , 	77642 ,  1023
10/10/20 , CT , 	60038 ,  0
10/10/20 , DE , 	22130 ,  303
10/10/20 , FL , 	720001 ,  0
10/10/20 , GA , 	330269 ,  1237
10/10/20 , IA , 	98591 ,  1134
10/10/20 , ID , 	47701 ,  613
10/10/20 , IL , 	319461 ,  2905
10/10/20 , IN , 	133411 ,  1918
10/10/20 , KS , 	65807 ,  0
10/10/20 , KY , 	79445 ,  989
10/10/20 , LA , 	173406 ,  0
10/10/20 , MA , 	145494 ,  587
10/10/20 , MD , 	131357 ,  562
10/10/20 , ME , 	5696 ,  0
10/10/20 , MI , 	149464 ,  1648
10/10/20 , MN , 	112268 ,  2956
10/10/20 , MO , 	144230 ,  5066
10/10/20 , MS , 	104932 ,  294
10/10/20 , MT , 	18117 ,  203
10/10/20 , NC , 	229752 ,  2321
10/10/20 , ND , 	27265 ,  637
10/10/20 , NE , 	51144 ,  1085
10/10/20 , NH , 	9090 ,  120
10/10/20 , NJ , 	212877 ,  864
10/10/20 , NM , 	32722 ,  481
10/10/20 , NV , 	85491 ,  806
10/10/20 , NY , 	223248 ,  872
10/10/20 , OH , 	167458 ,  1356
10/10/20 , OK , 	103382 ,  0
10/10/20 , OR , 	36526 ,  0
10/10/20 , PA , 	171050 ,  1742
10/10/20 , RI , 	26294 ,  0
10/10/20 , SC , 	156621 ,  945
10/10/20 , SD , 	27947 ,  732
10/10/20 , TN , 	212649 ,  1646
10/10/20 , TX , 	790060 ,  4230
10/10/20 , UT , 	84644 ,  1354
10/10/20 , VA , 	158716 ,  811
10/10/20 , VT , 	1857 ,  11
10/10/20 , WA , 	93035 ,  475
10/10/20 , WI , 	155602 ,  2971
10/10/20 , WV , 	17913 ,  206
10/10/20 , WY , 	7455 ,  120
10/11/20 , AL , 	165342 ,  816
10/11/20 , AR , 	92833 ,  613
10/11/20 , AZ , 	225575 ,  597
10/11/20 , CA , 	846579 ,  3803
10/11/20 , CO , 	78461 ,  819
10/11/20 , CT , 	60038 ,  0
10/11/20 , DE , 	22130 ,  0
10/11/20 , FL , 	725415 ,  5414
10/11/20 , GA , 	331409 ,  1140
10/11/20 , HI , 	13633 ,  262
10/11/20 , IA , 	99685 ,  1094
10/11/20 , ID , 	48066 ,  365
10/11/20 , IL , 	322188 ,  2727
10/11/20 , IN , 	134981 ,  1570
10/11/20 , KS , 	65807 ,  0
10/11/20 , KY , 	80292 ,  847
10/11/20 , LA , 	174587 ,  1181
10/11/20 , MA , 	146064 ,  570
10/11/20 , MD , 	131861 ,  504
10/11/20 , ME , 	5723 ,  27
10/11/20 , MI , 	149464 ,  0
10/11/20 , MN , 	113439 ,  1171
10/11/20 , MO , 	144230 ,  0
10/11/20 , MS , 	104932 ,  0
10/11/20 , MT , 	18702 ,  585
10/11/20 , NC , 	231471 ,  1719
10/11/20 , ND , 	27737 ,  472
10/11/20 , NE , 	52382 ,  1238
10/11/20 , NH , 	9143 ,  53
10/11/20 , NJ , 	213628 ,  751
10/11/20 , NM , 	32983 ,  261
10/11/20 , NV , 	85871 ,  380
10/11/20 , NY , 	223922 ,  674
10/11/20 , OH , 	168749 ,  1291
10/11/20 , OK , 	103382 ,  0
10/11/20 , OR , 	37255 ,  729
10/11/20 , PA , 	172216 ,  1166
10/11/20 , RI , 	26294 ,  0
10/11/20 , SC , 	157406 ,  785
10/11/20 , SD , 	28564 ,  617
10/11/20 , TN , 	214717 ,  2068
10/11/20 , TX , 	792478 ,  2418
10/11/20 , UT , 	85844 ,  1200
10/11/20 , VA , 	159570 ,  854
10/11/20 , VT , 	1876 ,  19
10/11/20 , WA , 	93862 ,  827
10/11/20 , WI , 	158315 ,  2713
10/11/20 , WV , 	18128 ,  215
10/11/20 , WY , 	7611 ,  156
10/12/20 , AL , 	166076 ,  734
10/12/20 , AR , 	93487 ,  654
10/12/20 , AZ , 	226050 ,  475
10/12/20 , CA , 	850028 ,  3449
10/12/20 , CO , 	79037 ,  576
10/12/20 , CT , 	61377 ,  1339
10/12/20 , DE , 	22394 ,  264
10/12/20 , FL , 	726934 ,  1519
10/12/20 , GA , 	332311 ,  902
10/12/20 , HI , 	13675 ,  42
10/12/20 , IA , 	100194 ,  509
10/12/20 , ID , 	48663 ,  597
10/12/20 , IL , 	324930 ,  2742
10/12/20 , IN , 	136555 ,  1574
10/12/20 , KS , 	67862 ,  2055
10/12/20 , KY , 	80930 ,  638
10/12/20 , LA , 	174647 ,  60
10/12/20 , MA , 	146829 ,  765
10/12/20 , MD , 	132343 ,  482
10/12/20 , ME , 	5780 ,  57
10/12/20 , MI , 	151396 ,  1932
10/12/20 , MN , 	114874 ,  1435
10/12/20 , MO , 	144230 ,  0
10/12/20 , MS , 	105941 ,  1009
10/12/20 , MT , 	19125 ,  423
10/12/20 , NC , 	232747 ,  1276
10/12/20 , ND , 	28245 ,  508
